pt,Ridge,Jet
8.32367,2.55515e-05,2.83357e-234
8.35983,2.47537e-05,2.47769e-234
8.396,2.39813e-05,2.16621e-234
8.43217,2.32335e-05,1.89364e-234
8.46833,2.25094e-05,1.65514e-234
8.5045,2.18083e-05,1.44649e-234
8.54067,2.11295e-05,1.26397e-234
8.57683,2.04722e-05,1.10433e-234
8.613,1.98357e-05,9.64727e-235
8.64917,1.92194e-05,8.42658e-235
8.68533,1.86226e-05,7.35936e-235
8.7215,1.80446e-05,6.42644e-235
8.75767,1.7485e-05,5.61103e-235
8.79383,1.69429e-05,4.89843e-235
8.83,1.6418e-05,4.27575e-235
8.86617,1.59097e-05,3.73173e-235
8.90233,1.54173e-05,3.25649e-235
8.9385,1.49405e-05,2.84139e-235
8.97467,1.44786e-05,2.47887e-235
9.01083,1.40313e-05,2.16231e-235
9.047,1.3598e-05,1.88593e-235
9.08317,1.31784e-05,1.64465e-235
9.11933,1.27719e-05,1.43405e-235
9.1555,1.23781e-05,1.25024e-235
9.19167,1.19967e-05,1.08985e-235
9.22783,1.16273e-05,9.49914e-236
9.264,1.12694e-05,8.2783e-236
9.30017,1.09227e-05,7.21341e-236
9.33633,1.05868e-05,6.28465e-236
9.3725,1.02614e-05,5.47474e-236
9.40867,9.94622e-06,4.76857e-236
9.44483,9.64085e-06,4.15293e-236
9.481,9.345e-06,3.61628e-236
9.51717,9.05837e-06,3.14856e-236
9.55333,8.78066e-06,2.74097e-236
9.5895,8.51161e-06,2.38582e-236
9.62567,8.25092e-06,2.07641e-236
9.66183,7.99833e-06,1.80688e-236
9.698,7.7536e-06,1.57213e-236
9.73417,7.51647e-06,1.36769e-236
9.77033,7.2867e-06,1.18968e-236
9.8065,7.06405e-06,1.0347e-236
9.84267,6.84831e-06,8.9979e-237
9.87883,6.63925e-06,7.82365e-237
9.915,6.43667e-06,6.80172e-237
9.95117,6.24036e-06,5.91249e-237
9.98733,6.05012e-06,5.13882e-237
10.0235,5.86576e-06,4.46579e-237
10.0597,5.6871e-06,3.88039e-237
10.0958,5.51396e-06,3.37127e-237
10.132,5.34616e-06,2.92856e-237
10.1682,5.18354e-06,2.54364e-237
10.2043,5.02594e-06,2.20902e-237
10.2405,4.87319e-06,1.91816e-237
10.2767,4.72514e-06,1.66538e-237
10.3128,4.58166e-06,1.44572e-237
10.349,4.44259e-06,1.25486e-237
10.3852,4.3078e-06,1.08905e-237
10.4213,4.17715e-06,9.45022e-238
10.4575,4.05052e-06,8.19933e-238
10.4937,3.92778e-06,7.11307e-238
10.5298,3.8088e-06,6.16988e-238
10.566,3.69348e-06,5.35105e-238
10.6022,3.58169e-06,4.64027e-238
10.6383,3.47333e-06,4.02336e-238
10.6745,3.36828e-06,3.488e-238
10.7107,3.26646e-06,3.02347e-238
10.7468,3.16775e-06,2.62045e-238
10.783,3.07206e-06,2.27085e-238
10.8192,2.9793e-06,1.96763e-238
10.8553,2.88938e-06,1.70467e-238
10.8915,2.8022e-06,1.47665e-238
10.9277,2.71768e-06,1.27896e-238
10.9638,2.63574e-06,1.10759e-238
11,2.55631e-06,9.59056e-239
