ptf, etaf, rapidity
-1.344000, 2.999000, -1.343056
-1.344000, 3.037500, -1.343080
-1.344000, 3.076000, -1.343103
-1.344000, 3.114500, -1.343125
-1.344000, 3.153000, -1.343146
-1.344000, 3.191500, -1.343166
-1.344000, 3.230000, -1.343186
-1.344000, 3.268500, -1.343205
-1.344000, 3.307000, -1.343224
-1.344000, 3.345500, -1.343241
-1.344000, 3.384000, -1.343258
-1.344000, 3.422500, -1.343275
-1.344000, 3.461000, -1.343291
-1.344000, 3.499500, -1.343307
-1.344000, 3.538000, -1.343322
-1.344000, 3.576500, -1.343336
-1.344000, 3.615000, -1.343350
-1.344000, 3.653500, -1.343364
-1.344000, 3.692000, -1.343377
-1.344000, 3.730500, -1.343390
-1.344000, 3.769000, -1.343402
-1.344000, 3.807500, -1.343414
-1.344000, 3.846000, -1.343426
-1.344000, 3.884500, -1.343437
-1.344000, 3.923000, -1.343448
-1.344000, 3.961500, -1.343459
-1.316000, 0.150000, -1.057942
-1.316000, 0.188500, -1.132432
-1.316000, 0.227000, -1.180163
-1.316000, 0.265500, -1.212069
-1.316000, 0.304000, -1.234233
-1.316000, 0.342500, -1.250155
-1.316000, 0.381000, -1.261930
-1.316000, 0.419500, -1.270858
-1.316000, 0.458000, -1.277775
-1.316000, 0.496500, -1.283236
-1.316000, 0.535000, -1.287617
-1.316000, 0.573500, -1.291182
-1.316000, 0.612000, -1.294122
-1.316000, 0.650500, -1.296572
-1.316000, 0.689000, -1.298636
-1.316000, 0.727500, -1.300389
-1.316000, 0.766000, -1.301891
-1.316000, 0.804500, -1.303187
-1.316000, 0.843000, -1.304313
-1.316000, 0.881500, -1.305298
-1.316000, 0.920000, -1.306164
-1.316000, 0.958500, -1.306929
-1.316000, 0.997000, -1.307609
-1.316000, 1.035500, -1.308215
-1.316000, 1.074000, -1.308758
-1.316000, 1.112500, -1.309246
-1.316000, 1.151000, -1.309687
-1.316000, 1.189500, -1.310086
-1.316000, 1.228000, -1.310448
-1.316000, 1.266500, -1.310778
-1.316000, 1.305000, -1.311080
-1.316000, 1.343500, -1.311356
-1.316000, 1.382000, -1.311610
-1.316000, 1.420500, -1.311843
-1.316000, 1.459000, -1.312059
-1.316000, 1.497500, -1.312258
-1.316000, 1.536000, -1.312442
-1.316000, 1.574500, -1.312613
-1.316000, 1.613000, -1.312772
-1.316000, 1.651500, -1.312921
-1.316000, 1.690000, -1.313059
-1.316000, 1.728500, -1.313188
-1.316000, 1.767000, -1.313309
-1.316000, 1.805500, -1.313422
-1.316000, 1.844000, -1.313528
-1.316000, 1.882500, -1.313628
-1.316000, 1.921000, -1.313722
-1.316000, 1.959500, -1.313810
-1.316000, 1.998000, -1.313893
-1.316000, 2.036500, -1.313972
-1.316000, 2.075000, -1.314046
-1.316000, 2.113500, -1.314117
-1.316000, 2.152000, -1.314183
-1.316000, 2.190500, -1.314247
-1.316000, 2.229000, -1.314306
-1.316000, 2.267500, -1.314363
-1.316000, 2.306000, -1.314417
-1.316000, 2.344500, -1.314469
-1.316000, 2.383000, -1.314518
-1.316000, 2.421500, -1.314565
-1.316000, 2.460000, -1.314609
-1.316000, 2.498500, -1.314652
-1.316000, 2.537000, -1.314692
-1.316000, 2.575500, -1.314731
-1.316000, 2.614000, -1.314768
-1.316000, 2.652500, -1.314803
-1.316000, 2.691000, -1.314837
-1.316000, 2.729500, -1.314870
-1.316000, 2.768000, -1.314901
-1.316000, 2.806500, -1.314931
-1.316000, 2.845000, -1.314960
-1.316000, 2.883500, -1.314987
-1.316000, 2.922000, -1.315014
-1.316000, 2.960500, -1.315039
-1.316000, 2.999000, -1.315064
-1.316000, 3.037500, -1.315087
