pt, Ef, Ei_phi=0, Ei_phi=0.5, Ei_phi=1, Ei_phi=pi, Ei_phi=pi/2, Ei_phi=pi/4
2.980000, 11.357483, 7.552214, 8.223176, 9.837843, 15.164550, 11.979139, 9.075275
2.990000, 11.395548, 7.590249, 8.260271, 9.873828, 15.202626, 12.015234, 9.111615
3.000000, 11.433612, 7.628284, 8.297376, 9.909829, 15.240701, 12.051342, 9.147970
3.010000, 11.471678, 7.666320, 8.334489, 9.945845, 15.278776, 12.087462, 9.184339
3.020000, 11.509743, 7.704357, 8.371611, 9.981877, 15.316852, 12.123594, 9.220722
3.030000, 11.547808, 7.742394, 8.408742, 10.017923, 15.354927, 12.159738, 9.257119
3.040000, 11.585874, 7.780431, 8.445881, 10.053985, 15.393003, 12.195894, 9.293529
3.050000, 11.623939, 7.818469, 8.483029, 10.090062, 15.431078, 12.232061, 9.329952
3.060000, 11.662005, 7.856508, 8.520185, 10.126153, 15.469154, 12.268240, 9.366389
3.070000, 11.700071, 7.894547, 8.557349, 10.162259, 15.507230, 12.304431, 9.402839
3.080000, 11.738137, 7.932586, 8.594521, 10.198380, 15.545305, 12.340633, 9.439302
3.090000, 11.776204, 7.970626, 8.631702, 10.234514, 15.583381, 12.376846, 9.475777
3.100000, 11.814270, 8.008666, 8.668890, 10.270663, 15.621457, 12.413071, 9.512265
3.110000, 11.852337, 8.046707, 8.706086, 10.306826, 15.659533, 12.449307, 9.548766
3.120000, 11.890403, 8.084748, 8.743289, 10.343003, 15.697609, 12.485554, 9.585279
3.130000, 11.928470, 8.122790, 8.780500, 10.379193, 15.735685, 12.521811, 9.621805
3.140000, 11.966537, 8.160832, 8.817719, 10.415397, 15.773761, 12.558080, 9.658342
3.150000, 12.004604, 8.198875, 8.854945, 10.451614, 15.811837, 12.594359, 9.694891
3.160000, 12.042672, 8.236918, 8.892179, 10.487845, 15.849914, 12.630649, 9.731452
3.170000, 12.080739, 8.274961, 8.929419, 10.524088, 15.887990, 12.666950, 9.768025
3.180000, 12.118807, 8.313005, 8.966667, 10.560345, 15.926066, 12.703261, 9.804610
3.190000, 12.156874, 8.351049, 9.003922, 10.596614, 15.964143, 12.739582, 9.841205
3.200000, 12.194942, 8.389094, 9.041184, 10.632896, 16.002219, 12.775914, 9.877812
3.210000, 12.233010, 8.427139, 9.078452, 10.669191, 16.040296, 12.812255, 9.914431
3.220000, 12.271078, 8.465185, 9.115728, 10.705498, 16.078372, 12.848607, 9.951060
3.230000, 12.309146, 8.503230, 9.153010, 10.741818, 16.116449, 12.884969, 9.987700
3.240000, 12.347215, 8.541277, 9.190298, 10.778150, 16.154526, 12.921341, 10.024351
3.250000, 12.385283, 8.579323, 9.227594, 10.814494, 16.192603, 12.957723, 10.061013
3.260000, 12.423352, 8.617370, 9.264895, 10.850849, 16.230679, 12.994115, 10.097685
3.270000, 12.461420, 8.655418, 9.302203, 10.887217, 16.268756, 13.030516, 10.134367
3.280000, 12.499489, 8.693465, 9.339518, 10.923596, 16.306833, 13.066927, 10.171060
3.290000, 12.537558, 8.731513, 9.376838, 10.959987, 16.344910, 13.103347, 10.207764
