ptf, phif, pti
0.180000, 1.005310, 0.335956
0.180000, 1.068142, 0.337745
0.180000, 1.130973, 0.339586
0.180000, 1.193805, 0.341473
0.180000, 1.256637, 0.343396
0.180000, 1.319469, 0.345348
0.180000, 1.382301, 0.347320
0.180000, 1.445133, 0.349305
0.180000, 1.507964, 0.351295
0.180000, 1.570796, 0.353281
0.180000, 1.633628, 0.355255
0.180000, 1.696460, 0.357212
0.180000, 1.759292, 0.359142
0.180000, 1.822124, 0.361039
0.180000, 1.884956, 0.362896
0.180000, 1.947787, 0.364706
0.180000, 2.010619, 0.366464
0.180000, 2.073451, 0.368162
0.180000, 2.136283, 0.369794
0.180000, 2.199115, 0.371357
0.180000, 2.261947, 0.372843
0.180000, 2.324779, 0.374249
0.180000, 2.387610, 0.375569
0.180000, 2.450442, 0.376799
0.180000, 2.513274, 0.377936
0.180000, 2.576106, 0.378976
0.180000, 2.638938, 0.379915
0.180000, 2.701770, 0.380751
0.180000, 2.764602, 0.381480
0.180000, 2.827433, 0.382101
0.180000, 2.890265, 0.382612
0.180000, 2.953097, 0.383011
0.180000, 3.015929, 0.383296
0.180000, 3.078761, 0.383468
0.190000, -3.141593, 0.385285
0.190000, -3.078761, 0.385225
0.190000, -3.015929, 0.385044
0.190000, -2.953097, 0.384744
0.190000, -2.890265, 0.384325
0.190000, -2.827433, 0.383788
0.190000, -2.764602, 0.383135
0.190000, -2.701770, 0.382369
0.190000, -2.638938, 0.381490
0.190000, -2.576106, 0.380503
0.190000, -2.513274, 0.379410
0.190000, -2.450442, 0.378215
0.190000, -2.387610, 0.376920
0.190000, -2.324779, 0.375532
0.190000, -2.261947, 0.374053
0.190000, -2.199115, 0.372489
0.190000, -2.136283, 0.370845
0.190000, -2.073451, 0.369126
0.190000, -2.010619, 0.367338
0.190000, -1.947787, 0.365487
0.190000, -1.884956, 0.363580
0.190000, -1.822124, 0.361623
0.190000, -1.759292, 0.359624
0.190000, -1.696460, 0.357589
0.190000, -1.633628, 0.355526
0.190000, -1.570796, 0.353443
0.190000, -1.507964, 0.351347
0.190000, -1.445133, 0.349247
0.190000, -1.382301, 0.347151
0.190000, -1.319469, 0.345068
0.190000, -1.256637, 0.343005
0.190000, -1.193805, 0.340973
0.190000, -1.130973, 0.338978
0.190000, -1.068142, 0.337030
0.190000, -1.005310, 0.335138
0.190000, -0.942478, 0.333310
0.190000, -0.879646, 0.331553
0.190000, -0.816814, 0.329878
0.190000, -0.753982, 0.328290
0.190000, -0.691150, 0.326798
0.190000, -0.628319, 0.325409
0.190000, -0.565487, 0.324131
0.190000, -0.502655, 0.322968
0.190000, -0.439823, 0.321928
0.190000, -0.376991, 0.321015
0.190000, -0.314159, 0.320234
0.190000, -0.251327, 0.319590
0.190000, -0.188496, 0.319085
0.190000, -0.125664, 0.318723
0.190000, -0.062832, 0.318505
0.190000, 0.000000, 0.318432
0.190000, 0.062832, 0.318505
0.190000, 0.125664, 0.318723
0.190000, 0.188496, 0.319085
0.190000, 0.251327, 0.319590
0.190000, 0.314159, 0.320234
0.190000, 0.376991, 0.321015
0.190000, 0.439823, 0.321928
0.190000, 0.502655, 0.322968
0.190000, 0.565487, 0.324131
0.190000, 0.628319, 0.325409
0.190000, 0.691150, 0.326798
0.190000, 0.753982, 0.328290
0.190000, 0.816814, 0.329878
0.190000, 0.879646, 0.331553
0.190000, 0.942478, 0.333310
0.190000, 1.005310, 0.335138
0.190000, 1.068142, 0.337030
0.190000, 1.130973, 0.338978
0.190000, 1.193805, 0.340973
0.190000, 1.256637, 0.343005
0.190000, 1.319469, 0.345068
0.190000, 1.382301, 0.347151
0.190000, 1.445133, 0.349247
0.190000, 1.507964, 0.351347
0.190000, 1.570796, 0.353443
0.190000, 1.633628, 0.355526
0.190000, 1.696460, 0.357589
0.190000, 1.759292, 0.359624
0.190000, 1.822124, 0.361623
0.190000, 1.884956, 0.363580
0.190000, 1.947787, 0.365487
0.190000, 2.010619, 0.367338
0.190000, 2.073451, 0.369126
0.190000, 2.136283, 0.370845
0.190000, 2.199115, 0.372489
0.190000, 2.261947, 0.374053
0.190000, 2.324779, 0.375532
0.190000, 2.387610, 0.376920
0.190000, 2.450442, 0.378215
0.190000, 2.513274, 0.379410
0.190000, 2.576106, 0.380503
0.190000, 2.638938, 0.381490
0.190000, 2.701770, 0.382369
0.190000, 2.764602, 0.383135
0.190000, 2.827433, 0.383788
0.190000, 2.890265, 0.384325
0.190000, 2.953097, 0.384744
0.190000, 3.015929, 0.385044
0.190000, 3.078761, 0.385225
0.200000, -3.141593, 0.387044
0.200000, -3.078761, 0.386981
0.200000, -3.015929, 0.386792
0.200000, -2.953097, 0.386477
0.200000, -2.890265, 0.386038
0.200000, -2.827433, 0.385475
0.200000, -2.764602, 0.384791
0.200000, -2.701770, 0.383988
0.200000, -2.638938, 0.383067
0.200000, -2.576106, 0.382032
0.200000, -2.513274, 0.380886
0.200000, -2.450442, 0.379633
0.200000, -2.387610, 0.378275
0.200000, -2.324779, 0.376819
0.200000, -2.261947, 0.375267
0.200000, -2.199115, 0.373626
0.200000, -2.136283, 0.371900
0.200000, -2.073451, 0.370096
0.200000, -2.010619, 0.368219
0.200000, -1.947787, 0.366275
0.200000, -1.884956, 0.364272
0.200000, -1.822124, 0.362216
0.200000, -1.759292, 0.360114
0.200000, -1.696460, 0.357974
