etaf, ptf, dF
-4.400000, 1.536000, 0.000000
-4.400000, 1.574500, 0.000000
-4.400000, 1.613000, 0.000000
-4.400000, 1.651500, 0.000000
-4.400000, 1.690000, 0.000000
-4.400000, 1.728500, 0.000000
-4.400000, 1.767000, 0.000000
-4.400000, 1.805500, 0.000000
-4.400000, 1.844000, 0.000000
-4.400000, 1.882500, 0.000000
-4.400000, 1.921000, 0.000000
-4.400000, 1.959500, 0.000000
-4.400000, 1.998000, 0.000000
-4.400000, 2.036500, 0.000000
-4.400000, 2.075000, 0.000000
-4.400000, 2.113500, 0.000000
-4.400000, 2.152000, 0.000000
-4.400000, 2.190500, 0.000000
-4.400000, 2.229000, 0.000000
-4.400000, 2.267500, 0.000000
-4.400000, 2.306000, 0.000000
-4.400000, 2.344500, 0.000000
-4.400000, 2.383000, 0.000000
-4.400000, 2.421500, 0.000000
-4.400000, 2.460000, 0.000000
-4.400000, 2.498500, 0.000000
-4.400000, 2.537000, 0.000000
-4.400000, 2.575500, 0.000000
-4.400000, 2.614000, 0.000000
-4.400000, 2.652500, 0.000000
-4.400000, 2.691000, 0.000000
-4.400000, 2.729500, 0.000000
-4.400000, 2.768000, 0.000000
-4.400000, 2.806500, 0.000000
-4.400000, 2.845000, 0.000000
-4.400000, 2.883500, 0.000000
-4.400000, 2.922000, 0.000000
-4.400000, 2.960500, 0.000000
-4.400000, 2.999000, 0.000000
-4.400000, 3.037500, 0.000000
-4.400000, 3.076000, 0.000000
-4.400000, 3.114500, 0.000000
-4.400000, 3.153000, 0.000000
-4.400000, 3.191500, 0.000000
-4.400000, 3.230000, 0.000000
-4.400000, 3.268500, 0.000000
-4.400000, 3.307000, 0.000000
-4.400000, 3.345500, 0.000000
-4.400000, 3.384000, 0.000000
-4.400000, 3.422500, 0.000000
-4.400000, 3.461000, 0.000000
-4.400000, 3.499500, 0.000000
-4.400000, 3.538000, 0.000000
-4.400000, 3.576500, 0.000000
-4.400000, 3.615000, 0.000000
-4.400000, 3.653500, 0.000000
-4.400000, 3.692000, 0.000000
-4.400000, 3.730500, 0.000000
