ptf, phif, pti, pti/ptf
0.170000, -1.947787, 2.068629, 12.168404
0.170000, -1.884956, 2.058891, 12.111123
0.170000, -1.822124, 2.048904, 12.052379
0.170000, -1.759292, 2.038705, 11.992384
0.170000, -1.696460, 2.028331, 11.931359
0.170000, -1.633628, 2.017820, 11.869529
0.170000, -1.570796, 2.007212, 11.807129
0.170000, -1.507964, 1.996548, 11.744398
0.170000, -1.445133, 1.985868, 11.681579
0.170000, -1.382301, 1.975217, 11.618921
0.170000, -1.319469, 1.964635, 11.556677
0.170000, -1.256637, 1.954167, 11.495100
0.170000, -1.193805, 1.943856, 11.434446
0.170000, -1.130973, 1.933745, 11.374971
0.170000, -1.068142, 1.923878, 11.316931
0.170000, -1.005310, 1.914298, 11.260578
0.170000, -0.942478, 1.905048, 11.206162
0.170000, -0.879646, 1.896168, 11.153927
0.170000, -0.816814, 1.887699, 11.104112
0.170000, -0.753982, 1.879681, 11.056948
0.170000, -0.691150, 1.872151, 11.012655
0.170000, -0.628319, 1.865146, 10.971445
0.170000, -0.565487, 1.858698, 10.933516
0.170000, -0.502655, 1.852839, 10.899052
0.170000, -0.439823, 1.847598, 10.868222
0.170000, -0.376991, 1.843001, 10.841181
0.170000, -0.314159, 1.839071, 10.818064
0.170000, -0.251327, 1.835828, 10.798987
0.170000, -0.188496, 1.833288, 10.784047
0.170000, -0.125664, 1.831464, 10.773320
0.170000, -0.062832, 1.830367, 10.766862
0.170000, 0.000000, 1.830000, 10.764706
0.170000, 0.062832, 1.830367, 10.766862
0.170000, 0.125664, 1.831464, 10.773320
0.170000, 0.188496, 1.833288, 10.784047
0.170000, 0.251327, 1.835828, 10.798987
0.170000, 0.314159, 1.839071, 10.818064
0.170000, 0.376991, 1.843001, 10.841181
0.170000, 0.439823, 1.847598, 10.868222
0.170000, 0.502655, 1.852839, 10.899052
0.170000, 0.565487, 1.858698, 10.933516
0.170000, 0.628319, 1.865146, 10.971445
0.170000, 0.691150, 1.872151, 11.012655
0.170000, 0.753982, 1.879681, 11.056948
0.170000, 0.816814, 1.887699, 11.104112
0.170000, 0.879646, 1.896168, 11.153927
0.170000, 0.942478, 1.905048, 11.206162
0.170000, 1.005310, 1.914298, 11.260578
0.170000, 1.068142, 1.923878, 11.316931
0.170000, 1.130973, 1.933745, 11.374971
0.170000, 1.193805, 1.943856, 11.434446
0.170000, 1.256637, 1.954167, 11.495100
0.170000, 1.319469, 1.964635, 11.556677
0.170000, 1.382301, 1.975217, 11.618921
0.170000, 1.445133, 1.985868, 11.681579
0.170000, 1.507964, 1.996548, 11.744398
0.170000, 1.570796, 2.007212, 11.807129
0.170000, 1.633628, 2.017820, 11.869529
0.170000, 1.696460, 2.028331, 11.931359
0.170000, 1.759292, 2.038705, 11.992384
0.170000, 1.822124, 2.048904, 12.052379
0.170000, 1.884956, 2.058891, 12.111123
0.170000, 1.947787, 2.068629, 12.168404
0.170000, 2.010619, 2.078083, 12.224019
0.170000, 2.073451, 2.087221, 12.277772
0.170000, 2.136283, 2.096011, 12.329477
0.170000, 2.199115, 2.104422, 12.378956
0.170000, 2.261947, 2.112427, 12.426042
0.170000, 2.324779, 2.119998, 12.470577
0.170000, 2.387610, 2.127110, 12.512414
0.170000, 2.450442, 2.133741, 12.551415
0.170000, 2.513274, 2.139867, 12.587454
0.170000, 2.576106, 2.145470, 12.620414
0.170000, 2.638938, 2.150532, 12.650189
0.170000, 2.701770, 2.155037, 12.676685
0.170000, 2.764602, 2.158969, 12.699819
0.170000, 2.827433, 2.162318, 12.719517
0.170000, 2.890265, 2.165072, 12.735717
0.170000, 2.953097, 2.167223, 12.748370
0.170000, 3.015929, 2.168764, 12.757436
0.170000, 3.078761, 2.169691, 12.762887
0.180000, -3.141593, 2.180000, 12.111111
0.180000, -3.078761, 2.179674, 12.109301
0.180000, -3.015929, 2.178697, 12.103875
0.180000, -2.953097, 2.177073, 12.094850
0.180000, -2.890265, 2.174806, 12.082254
0.180000, -2.827433, 2.171903, 12.066125
0.180000, -2.764602, 2.168372, 12.046514
0.180000, -2.701770, 2.164226, 12.023479
0.180000, -2.638938, 2.159477, 11.997094
0.180000, -2.576106, 2.154139, 11.967441
0.180000, -2.513274, 2.148230, 11.934611
0.180000, -2.450442, 2.141768, 11.898710
0.180000, -2.387610, 2.134773, 11.859852
0.180000, -2.324779, 2.127269, 11.818162
0.180000, -2.261947, 2.119279, 11.773775
0.180000, -2.199115, 2.110830, 11.726836
0.180000, -2.136283, 2.101950, 11.677502
0.180000, -2.073451, 2.092669, 11.625938
0.180000, -2.010619, 2.083017, 11.572318
0.180000, -1.947787, 2.073029, 11.516828
0.180000, -1.884956, 2.062739, 11.459661
0.180000, -1.822124, 2.052183, 11.401019
0.180000, -1.759292, 2.041400, 11.341112
0.180000, -1.696460, 2.030429, 11.280158
0.180000, -1.633628, 2.019309, 11.218384
0.180000, -1.570796, 2.008084, 11.156020
0.180000, -1.507964, 1.996795, 11.093306
0.180000, -1.445133, 1.985487, 11.030485
0.180000, -1.382301, 1.974205, 10.967806
0.180000, -1.319469, 1.962993, 10.905519
0.180000, -1.256637, 1.951899, 10.843881
0.180000, -1.193805, 1.940966, 10.783146
0.180000, -1.130973, 1.930243, 10.723573
