#: table_doi: 10.17182/hepdata.105588.v1/t1
#: name: 1/NTRIG DN/DPHI
#: description: Long-range $\Delta\varphi$ projections in minimum bias and high-multiplicity events for various $p_\mathrm{T,trig(assoc)}$ ranges.

#: data_file: Table1.yaml
#: keyword reactions: PROTON PROTON --> CHARGED X
#: keyword observables: Per-trigger Yield
#: keyword cmenergies: 13000.0
#: FORWARD MULTIPLICITY CLASS [PCT],,,0-100
#: $p_\mathrm{T,trig(assoc)}$ [GeV/c],,,1-2
#: stat,,,Statistical Uncertainty
#: sys,,,Systematic Uncertainty
$\Delta\varphi$,$\Delta\varphi$ LOW,$\Delta\varphi$ HIGH,1/$N_{\rm{trig}} \mathrm{d}N^{\mathrm{pair}}/\mathrm{d}\Delta\varphi$,stat +,stat -,sys +,sys -
-0.9817475,-1.079922,-0.883573,-2.16059e-05,0.000608558,-0.000608558,8.40736e-07,-8.40736e-07
-0.785398,-0.883573,-0.687223,0.000781943,0.000620577,-0.000620577,2.99747e-05,-2.99747e-05
-0.5890485,-0.687223,-0.490874,0.00138087,0.000626761,-0.000626761,5.2667e-05,-5.2667e-05
-0.392699,-0.490874,-0.294524,0.00216754,0.000627798,-0.000627798,7.99831e-05,-7.99831e-05
-0.1963495,-0.294524,-0.098175,0.00286698,0.000637374,-0.000637374,0.000103497,-0.000103497
0.0,-0.098175,0.098175,0.00275313,0.000625343,-0.000625343,0.000100294,-0.000100294
0.1963495,0.098175,0.294524,0.0027443,0.000637501,-0.000637501,0.000100259,-0.000100259
0.392699,0.294524,0.490874,0.000959311,0.000617114,-0.000617114,3.57558e-05,-3.57558e-05
0.5890485,0.490874,0.687223,0.00153222,0.000624298,-0.000624298,5.58454e-05,-5.58454e-05
0.785398,0.687223,0.883573,0.000585551,0.000616819,-0.000616819,2.15167e-05,-2.15167e-05
0.9817475,0.883573,1.079922,0.000748086,0.000615665,-0.000615665,2.70607e-05,-2.70607e-05
1.1780970000000002,1.079922,1.276272,0.00018878,0.000616211,-0.000616211,6.8484e-06,-6.8484e-06
1.374447,1.276272,1.472622,-0.000238352,0.000608584,-0.000608584,8.62356e-06,-8.62356e-06
1.5707965000000002,1.472622,1.668971,0.000981858,0.000622984,-0.000622984,3.56563e-05,-3.56563e-05
1.7671459999999999,1.668971,1.865321,0.00220799,0.000627817,-0.000627817,8.03553e-05,-8.03553e-05
1.9634955,1.865321,2.06167,0.00416121,0.000638287,-0.000638287,0.000150579,-0.000150579
2.159845,2.06167,2.25802,0.00464347,0.000637475,-0.000637475,0.000172275,-0.000172275
2.3561945,2.25802,2.454369,0.00801149,0.000660789,-0.000660789,0.000291058,-0.000291058
2.552544,2.454369,2.650719,0.0107874,0.000679522,-0.000679522,0.000394076,-0.000394076
