phi,dN/dphi
-0.025,0.0252234
-0.02,0.0252408
-0.015,0.0252544
-0.01,0.0252641
-0.005,0.02527
-2.95423e-15,0.0252719
0.005,0.02527
0.01,0.0252641
0.015,0.0252544
0.02,0.0252408
0.025,0.0252234
0.03,0.0252023
0.035,0.0251774
0.04,0.0251488
0.045,0.0251166
0.05,0.0250809
0.055,0.0250417
0.06,0.0249992
0.065,0.0249533
0.07,0.0249043
0.075,0.0248521
0.08,0.0247969
0.085,0.0247387
0.09,0.0246777
0.095,0.0246139
0.1,0.0245474
0.105,0.0244783
0.11,0.0244067
0.115,0.0243326
0.12,0.0242563
0.125,0.0241776
0.13,0.0240968
0.135,0.0240139
0.14,0.0239289
0.145,0.023842
0.15,0.0237532
0.155,0.0236627
0.16,0.0235704
0.165,0.0234764
0.17,0.0233808
0.175,0.0232837
0.18,0.0231851
0.185,0.0230851
0.19,0.0229838
0.195,0.0228812
0.2,0.0227774
0.205,0.0226724
0.21,0.0225663
0.215,0.0224591
0.22,0.0223509
0.225,0.0222418
0.23,0.0221317
0.235,0.0220208
0.24,0.0219091
0.245,0.0217966
0.25,0.0216834
0.255,0.0215696
0.26,0.0214551
0.265,0.02134
0.27,0.0212244
0.275,0.0211082
0.28,0.0209916
0.285,0.0208746
0.29,0.0207571
0.295,0.0206393
0.3,0.0205212
0.305,0.0204028
0.31,0.0202842
0.315,0.0201653
0.32,0.0200462
0.325,0.019927
0.33,0.0198076
0.335,0.0196881
0.34,0.0195686
0.345,0.019449
0.35,0.0193294
0.355,0.0192098
0.36,0.0190903
0.365,0.0189708
0.37,0.0188513
0.375,0.018732
0.38,0.0186128
0.385,0.0184938
0.39,0.0183749
0.395,0.0182562
0.4,0.0181377
0.405,0.0180195
0.41,0.0179015
0.415,0.0177838
0.42,0.0176663
0.425,0.0175492
0.43,0.0174323
0.435,0.0173158
0.44,0.0171997
0.445,0.0170839
0.45,0.0169685
0.455,0.0168534
0.46,0.0167388
0.465,0.0166246
0.47,0.0165108
0.475,0.0163975
0.48,0.0162846
0.485,0.0161722
0.49,0.0160602
0.495,0.0159488
0.5,0.0158378
0.505,0.0157273
0.51,0.0156173
0.515,0.0155079
0.52,0.0153989
0.525,0.0152905
0.53,0.0151827
0.535,0.0150754
0.54,0.0149686
0.545,0.0148624
0.55,0.0147568
0.555,0.0146517
0.56,0.0145472
0.565,0.0144433
0.57,0.01434
0.575,0.0142373
0.58,0.0141352
0.585,0.0140336
0.59,0.0139327
0.595,0.0138324
0.6,0.0137326
0.605,0.0136335
0.61,0.013535
0.615,0.0134371
0.62,0.0133399
0.625,0.0132432
0.63,0.0131472
0.635,0.0130518
0.64,0.012957
0.645,0.0128629
0.65,0.0127693
0.655,0.0126764
0.66,0.0125841
0.665,0.0124925
0.67,0.0124015
0.675,0.0123111
0.68,0.0122213
0.685,0.0121321
0.69,0.0120436
0.695,0.0119557
0.7,0.0118684
0.705,0.0117818
0.71,0.0116958
0.715,0.0116104
0.72,0.0115256
0.725,0.0114414
0.73,0.0113578
0.735,0.0112749
0.74,0.0111926
0.745,0.0111109
0.75,0.0110298
0.755,0.0109493
0.76,0.0108694
0.765,0.0107901
0.77,0.0107115
0.775,0.0106334
0.78,0.0105559
0.785,0.010479
0.79,0.0104027
0.795,0.010327
0.8,0.0102519
0.805,0.0101774
0.81,0.0101034
0.815,0.01003
0.82,0.00995724
0.825,0.00988501
0.83,0.00981336
0.835,0.00974228
