ptf,yi,yf,cosh(yf)/cosh(yi)
0.6351,0,0,1
0.63895,0,0,1
0.6428,0,0,1
0.64665,0,0,1
0.6505,0,0,1
0.65435,0,0,1
0.6582,0,0,1
0.66205,0,0,1
0.6659,0,0,1
0.66975,0,0,1
0.6736,0,0,1
0.67745,0,0,1
0.6813,0,0,1
0.68515,0,0,1
0.689,0,0,1
0.69285,0,0,1
0.6967,0,0,1
0.70055,0,0,1
0.7044,0,0,1
0.70825,0,0,1
0.7121,0,0,1
0.71595,0,0,1
0.7198,0,0,1
0.72365,0,0,1
0.7275,0,0,1
0.73135,0,0,1
0.7352,0,0,1
0.73905,0,0,1
0.7429,0,0,1
0.74675,0,0,1
0.7506,0,0,1
0.75445,0,0,1
0.7583,0,0,1
0.76215,0,0,1
0.766,0,0,1
0.76985,0,0,1
0.7737,0,0,1
0.77755,0,0,1
0.7814,0,0,1
0.78525,0,0,1
0.7891,0,0,1
0.79295,0,0,1
0.7968,0,0,1
0.80065,0,0,1
0.8045,0,0,1
0.80835,0,0,1
0.8122,0,0,1
0.81605,0,0,1
0.8199,0,0,1
0.82375,0,0,1
0.8276,0,0,1
0.83145,0,0,1
0.8353,0,0,1
0.83915,0,0,1
0.843,0,0,1
0.84685,0,0,1
0.8507,0,0,1
0.85455,0,0,1
0.8584,0,0,1
0.86225,0,0,1
0.8661,0,0,1
0.86995,0,0,1
0.8738,0,0,1
0.87765,0,0,1
0.8815,0,0,1
0.88535,0,0,1
0.8892,0,0,1
0.89305,0,0,1
0.8969,0,0,1
0.90075,0,0,1
0.9046,0,0,1
0.90845,0,0,1
0.9123,0,0,1
0.91615,0,0,1
0.92,0,0,1
0.92385,0,0,1
0.9277,0,0,1
0.93155,0,0,1
0.9354,0,0,1
0.93925,0,0,1
0.9431,0,0,1
0.94695,0,0,1
0.9508,0,0,1
0.95465,0,0,1
0.9585,0,0,1
0.96235,0,0,1
0.9662,0,0,1
0.97005,0,0,1
0.9739,0,0,1
0.97775,0,0,1
0.9816,0,0,1
0.98545,0,0,1
0.9893,0,0,1
0.99315,0,0,1
0.997,0,0,1
1.00085,0,0,1
1.0047,0,0,1
1.00855,0,0,1
1.0124,0,0,1
1.01625,0,0,1
1.0201,0,0,1
1.02395,0,0,1
1.0278,0,0,1
1.03165,0,0,1
1.0355,0,0,1
1.03935,0,0,1
1.0432,0,0,1
1.04705,0,0,1
1.0509,0,0,1
1.05475,0,0,1
1.0586,0,0,1
1.06245,0,0,1
1.0663,0,0,1
1.07015,0,0,1
1.074,0,0,1
1.07785,0,0,1
1.0817,0,0,1
1.08555,0,0,1
1.0894,0,0,1
1.09325,0,0,1
1.0971,0,0,1
1.10095,0,0,1
1.1048,0,0,1
1.10865,0,0,1
1.1125,0,0,1
1.11635,0,0,1
1.1202,0,0,1
1.12405,0,0,1
1.1279,0,0,1
1.13175,0,0,1
1.1356,0,0,1
1.13945,0,0,1
1.1433,0,0,1
1.14715,0,0,1
1.151,0,0,1
1.15485,0,0,1
1.1587,0,0,1
1.16255,0,0,1
1.1664,0,0,1
1.17025,0,0,1
1.1741,0,0,1
1.17795,0,0,1
1.1818,0,0,1
1.18565,0,0,1
1.1895,0,0,1
1.19335,0,0,1
1.1972,0,0,1
1.20105,0,0,1
1.2049,0,0,1
1.20875,0,0,1
1.2126,0,0,1
1.21645,0,0,1
1.2203,0,0,1
1.22415,0,0,1
1.228,0,0,1
1.23185,0,0,1
1.2357,0,0,1
1.23955,0,0,1
1.2434,0,0,1
1.24725,0,0,1
