ptf,yi,yf,cosh(yf)/cosh(yi)
1.12405,1.1464,1.49308,1.34948
1.1279,1.1602,1.49313,1.33439
1.13175,1.17329,1.49317,1.32014
1.1356,1.18572,1.49322,1.30669
1.13945,1.19752,1.49326,1.29398
1.1433,1.20874,1.49331,1.28197
1.14715,1.21941,1.49335,1.27062
1.151,1.22956,1.4934,1.25987
1.15485,1.23921,1.49344,1.2497
1.1587,1.2484,1.49348,1.24006
1.16255,1.25716,1.49353,1.23092
1.1664,1.26551,1.49357,1.22225
1.17025,1.27346,1.49361,1.21403
1.1741,1.28105,1.49365,1.20621
1.17795,1.28829,1.49369,1.19879
1.1818,1.29521,1.49374,1.19173
1.18565,1.30181,1.49378,1.18501
1.1895,1.30813,1.49382,1.17861
1.19335,1.31416,1.49386,1.17252
1.1972,1.31994,1.49389,1.16671
1.20105,1.32546,1.49393,1.16117
1.2049,1.33075,1.49397,1.15589
1.20875,1.33582,1.49401,1.15084
1.2126,1.34068,1.49405,1.14602
1.21645,1.34533,1.49408,1.14141
1.2203,1.3498,1.49412,1.13701
1.22415,1.35409,1.49416,1.13279
1.228,1.3582,1.49419,1.12876
1.23185,1.36215,1.49423,1.12489
1.2357,1.36595,1.49427,1.12118
1.23955,1.3696,1.4943,1.11763
1.2434,1.37311,1.49434,1.11422
1.24725,1.37649,1.49437,1.11095
1.2511,1.37974,1.49441,1.10781
1.25495,1.38286,1.49444,1.1048
1.2588,1.38588,1.49447,1.1019
1.26265,1.38878,1.49451,1.09911
1.2665,1.39158,1.49454,1.09643
1.27035,1.39428,1.49457,1.09385
1.2742,1.39688,1.49461,1.09137
1.27805,1.39939,1.49464,1.08898
1.2819,1.40181,1.49467,1.08668
1.28575,1.40415,1.4947,1.08446
1.2896,1.40642,1.49473,1.08232
1.29345,1.4086,1.49476,1.08025
1.2973,1.41071,1.49479,1.07826
1.30115,1.41275,1.49483,1.07634
1.305,1.41473,1.49486,1.07448
1.30885,1.41664,1.49489,1.07269
1.3127,1.41849,1.49492,1.07096
1.31655,1.42028,1.49494,1.06928
1.3204,1.42201,1.49497,1.06766
1.32425,1.42369,1.495,1.06609
1.3281,1.42531,1.49503,1.06458
1.33195,1.42689,1.49506,1.06311
1.3358,1.42842,1.49509,1.06169
1.33965,1.4299,1.49512,1.06032
1.3435,1.43134,1.49514,1.05898
1.34735,1.43274,1.49517,1.05769
1.3512,1.43409,1.4952,1.05644
1.35505,1.43541,1.49523,1.05523
1.3589,1.43668,1.49525,1.05405
1.36275,1.43792,1.49528,1.05291
1.3666,1.43913,1.49531,1.0518
1.37045,1.4403,1.49533,1.05073
1.3743,1.44144,1.49536,1.04968
1.37815,1.44255,1.49538,1.04867
1.382,1.44362,1.49541,1.04768
1.38585,1.44467,1.49543,1.04673
1.3897,1.44569,1.49546,1.0458
1.39355,1.44668,1.49548,1.04489
1.3974,1.44764,1.49551,1.04401
1.40125,1.44858,1.49553,1.04316
1.4051,1.4495,1.49556,1.04233
1.40895,1.45039,1.49558,1.04152
