pt, Njetdis
2.860000, 0.013974
2.870000, 0.013722
2.880000, 0.013475
2.890000, 0.013233
2.900000, 0.012995
2.910000, 0.012761
2.920000, 0.012531
2.930000, 0.012306
2.940000, 0.012084
2.950000, 0.011867
2.960000, 0.011653
2.970000, 0.011443
2.980000, 0.011237
2.990000, 0.011035
3.000000, 0.010837
3.010000, 0.010642
3.020000, 0.010450
3.030000, 0.010262
3.040000, 0.010077
3.050000, 0.009896
3.060000, 0.009718
3.070000, 0.009543
3.080000, 0.009371
3.090000, 0.009202
3.100000, 0.009037
3.110000, 0.008874
3.120000, 0.008714
3.130000, 0.008557
3.140000, 0.008403
3.150000, 0.008252
3.160000, 0.008104
3.170000, 0.007958
3.180000, 0.007815
3.190000, 0.007674
3.200000, 0.007536
3.210000, 0.007400
3.220000, 0.007267
3.230000, 0.007136
3.240000, 0.007008
3.250000, 0.006881
3.260000, 0.006758
3.270000, 0.006636
3.280000, 0.006516
3.290000, 0.006399
3.300000, 0.006284
3.310000, 0.006171
3.320000, 0.006060
3.330000, 0.005951
3.340000, 0.005844
3.350000, 0.005738
3.360000, 0.005635
3.370000, 0.005534
3.380000, 0.005434
3.390000, 0.005336
3.400000, 0.005240
3.410000, 0.005146
3.420000, 0.005053
3.430000, 0.004962
3.440000, 0.004873
3.450000, 0.004785
3.460000, 0.004699
3.470000, 0.004614
3.480000, 0.004531
3.490000, 0.004450
3.500000, 0.004370
3.510000, 0.004291
3.520000, 0.004214
3.530000, 0.004138
3.540000, 0.004063
3.550000, 0.003990
3.560000, 0.003918
3.570000, 0.003848
3.580000, 0.003779
3.590000, 0.003710
3.600000, 0.003644
3.610000, 0.003578
3.620000, 0.003514
3.630000, 0.003450
3.640000, 0.003388
3.650000, 0.003327
3.660000, 0.003267
3.670000, 0.003209
3.680000, 0.003151
3.690000, 0.003094
3.700000, 0.003038
3.710000, 0.002984
3.720000, 0.002930
3.730000, 0.002877
3.740000, 0.002825
3.750000, 0.002774
3.760000, 0.002725
3.770000, 0.002675
3.780000, 0.002627
3.790000, 0.002580
3.800000, 0.002534
3.810000, 0.002488
3.820000, 0.002443
3.830000, 0.002399
3.840000, 0.002356
3.850000, 0.002314
3.860000, 0.002272
3.870000, 0.002231
3.880000, 0.002191
3.890000, 0.002151
3.900000, 0.002113
3.910000, 0.002075
3.920000, 0.002037
3.930000, 0.002001
3.940000, 0.001965
3.950000, 0.001929
3.960000, 0.001894
3.970000, 0.001860
3.980000, 0.001827
3.990000, 0.001794
4.000000, 0.001762
