pt,Ridge,Jet
6.51533,0.000131988,0
6.5515,0.000127845,0
6.58767,0.000123835,0
6.62383,0.000119956,0
6.66,0.000116201,0
6.69617,0.000112568,0
6.73233,0.000109051,0
6.7685,0.000105648,0
6.80467,0.000102354,0
6.84083,9.91654e-05,0
6.877,9.60791e-05,0
6.91317,9.30917e-05,0
6.94933,9.01997e-05,0
6.9855,8.74001e-05,0
7.02167,8.46897e-05,0
7.05783,8.20658e-05,0
7.094,7.95253e-05,0
7.13017,7.70656e-05,0
7.16633,7.4684e-05,0
7.2025,7.2378e-05,0
7.23867,7.0145e-05,0
7.27483,6.79827e-05,0
7.311,6.58889e-05,0
7.34717,6.38611e-05,0
7.38333,6.18974e-05,0
7.4195,5.99955e-05,0
7.45567,5.81536e-05,0
7.49183,5.63696e-05,0
7.528,5.46417e-05,0
7.56417,5.29681e-05,0
7.60033,5.13469e-05,0
7.6365,4.97766e-05,0
7.67267,4.82555e-05,0
7.70883,4.67819e-05,0
7.745,4.53544e-05,0
7.78117,4.39715e-05,0
7.81733,4.26317e-05,0
7.8535,4.13336e-05,0
7.88967,4.0076e-05,0
7.92583,3.88576e-05,0
7.962,3.7677e-05,0
7.99817,3.6533e-05,0
8.03433,3.54246e-05,0
8.0705,3.43506e-05,0
8.10667,3.33098e-05,0
8.14283,3.23012e-05,0
8.179,3.13238e-05,0
8.21517,3.03767e-05,0
8.25133,2.94587e-05,0
8.2875,2.85691e-05,0
8.32367,2.77069e-05,0
8.35983,2.68713e-05,0
8.396,2.60614e-05,0
8.43217,2.52764e-05,0
8.46833,2.45155e-05,0
8.5045,2.3778e-05,0
8.54067,2.30632e-05,0
8.57683,2.23702e-05,0
8.613,2.16985e-05,0
8.64917,2.10473e-05,0
8.68533,2.0416e-05,0
8.7215,1.98041e-05,0
8.75767,1.92108e-05,0
8.79383,1.86357e-05,0
8.83,1.80781e-05,0
8.86617,1.75375e-05,0
8.90233,1.70133e-05,0
8.9385,1.65051e-05,0
8.97467,1.60124e-05,0
9.01083,1.55346e-05,0
9.047,1.50714e-05,0
9.08317,1.46222e-05,0
9.11933,1.41867e-05,0
9.1555,1.37643e-05,0
9.19167,1.33548e-05,0
9.22783,1.29576e-05,0
9.264,1.25725e-05,0
9.30017,1.2199e-05,0
9.33633,1.18367e-05,0
9.3725,1.14855e-05,0
9.40867,1.11448e-05,0
9.44483,1.08144e-05,0
9.481,1.04939e-05,0
9.51717,1.01832e-05,0
9.55333,9.88172e-06,0
9.5895,9.58936e-06,0
9.62567,9.30578e-06,0
9.66183,9.03073e-06,0
9.698,8.76393e-06,0
9.73417,8.50514e-06,0
9.77033,8.25412e-06,0
9.8065,8.01062e-06,0
9.84267,7.77441e-06,0
9.87883,7.54528e-06,0
9.915,7.323e-06,0
9.95117,7.10738e-06,0
9.98733,6.8982e-06,0
10.0235,6.69526e-06,0
10.0597,6.49839e-06,0
10.0958,6.30739e-06,0
10.132,6.12209e-06,0
10.1682,5.94232e-06,0
10.2043,5.7679e-06,0
10.2405,5.59867e-06,0
10.2767,5.43448e-06,0
10.3128,5.27518e-06,0
10.349,5.12061e-06,0
10.3852,4.97063e-06,0
10.4213,4.82511e-06,0
10.4575,4.68391e-06,0
10.4937,4.5469e-06,0
10.5298,4.41395e-06,0
10.566,4.28495e-06,0
10.6022,4.15976e-06,0
10.6383,4.03828e-06,0
10.6745,3.9204e-06,0
10.7107,3.806e-06,0
10.7468,3.69499e-06,0
10.783,3.58726e-06,0
10.8192,3.48271e-06,0
10.8553,3.38125e-06,0
10.8915,3.28278e-06,0
10.9277,3.18722e-06,0
10.9638,3.09447e-06,0
11,3.00446e-06,0
