phi,dN/dphi
0.88,0.0114971
0.885,0.0114287
0.89,0.0113607
0.895,0.011293
0.9,0.0112258
0.905,0.0111589
0.91,0.0110924
0.915,0.0110263
0.92,0.0109606
0.925,0.0108953
0.93,0.0108304
0.935,0.0107658
0.94,0.0107017
0.945,0.0106379
0.95,0.0105745
0.955,0.0105115
0.96,0.0104489
0.965,0.0103866
0.97,0.0103248
0.975,0.0102633
0.98,0.0102022
0.985,0.0101415
0.99,0.0100811
0.995,0.0100211
1,0.00996151
1.005,0.00990228
1.01,0.00984341
1.015,0.00978492
1.02,0.00972679
1.025,0.00966904
1.03,0.00961164
1.035,0.00955462
1.04,0.00949795
1.045,0.00944165
1.05,0.00938571
1.055,0.00933013
1.06,0.0092749
1.065,0.00922003
1.07,0.00916552
1.075,0.00911136
1.08,0.00905755
1.085,0.0090041
1.09,0.00895099
1.095,0.00889823
1.1,0.00884582
1.105,0.00879375
1.11,0.00874203
1.115,0.00869065
1.12,0.0086396
1.125,0.0085889
1.13,0.00853853
1.135,0.0084885
1.14,0.0084388
1.145,0.00838944
1.15,0.00834041
1.155,0.0082917
1.16,0.00824332
1.165,0.00819527
1.17,0.00814755
1.175,0.00810014
1.18,0.00805306
