pt,Ridge,Jet
8.68533,6.10414e-06,0
8.7215,5.90058e-06,0
8.75767,5.7039e-06,0
8.79383,5.51388e-06,0
8.83,5.33029e-06,0
8.86617,5.1529e-06,0
8.90233,4.9815e-06,0
8.9385,4.81589e-06,0
8.97467,4.65586e-06,0
9.01083,4.50122e-06,0
9.047,4.3518e-06,0
9.08317,4.2074e-06,0
9.11933,4.06787e-06,0
9.1555,3.93303e-06,0
9.19167,3.80272e-06,0
9.22783,3.67678e-06,0
9.264,3.55508e-06,0
9.30017,3.43746e-06,0
9.33633,3.32378e-06,0
9.3725,3.21391e-06,0
9.40867,3.10773e-06,0
9.44483,3.0051e-06,0
9.481,2.9059e-06,0
9.51717,2.81002e-06,0
9.55333,2.71734e-06,0
9.5895,2.62776e-06,0
9.62567,2.54117e-06,0
9.66183,2.45748e-06,0
9.698,2.37657e-06,0
9.73417,2.29836e-06,0
9.77033,2.22276e-06,0
9.8065,2.14967e-06,0
9.84267,2.07902e-06,0
9.87883,2.01072e-06,0
9.915,1.94469e-06,0
9.95117,1.88085e-06,0
9.98733,1.81913e-06,0
10.0235,1.75947e-06,0
10.0597,1.70178e-06,0
10.0958,1.64601e-06,0
10.132,1.59209e-06,0
10.1682,1.53995e-06,0
10.2043,1.48954e-06,0
10.2405,1.4408e-06,0
10.2767,1.39368e-06,0
10.3128,1.34811e-06,0
10.349,1.30405e-06,0
10.3852,1.26144e-06,0
10.4213,1.22025e-06,0
10.4575,1.18041e-06,0
10.4937,1.14189e-06,0
10.5298,1.10464e-06,0
10.566,1.06861e-06,0
10.6022,1.03378e-06,0
10.6383,1.00009e-06,0
10.6745,9.67515e-07,0
10.7107,9.3601e-07,0
10.7468,9.05541e-07,0
10.783,8.76075e-07,0
10.8192,8.47577e-07,0
10.8553,8.20017e-07,0
10.8915,7.93361e-07,0
10.9277,7.67581e-07,0
10.9638,7.42648e-07,0
11,7.18532e-07,0
