etaf,Ridge,Jet
1.27,0.512636,0.00444858
1.28,0.510976,0.00417537
1.29,0.509337,0.0039176
1.3,0.50772,0.00367448
1.31,0.506124,0.00344528
1.32,0.504547,0.00322926
1.33,0.502989,0.00302574
1.34,0.50145,0.00283408
1.35,0.49993,0.00265364
1.36,0.498426,0.00248383
1.37,0.496939,0.00232408
1.38,0.495469,0.00217385
1.39,0.494014,0.00203263
1.4,0.492574,0.00189991
1.41,0.491149,0.00177525
1.42,0.489737,0.00165819
1.43,0.488339,0.0015483
1.44,0.486955,0.00144519
1.45,0.485582,0.00134847
1.46,0.484222,0.00125779
1.47,0.482873,0.00117279
1.48,0.481535,0.00109315
1.49,0.480207,0.00101855
