etaf, phif, dF
-4.800000, -0.280000, 0.001366
-4.800000, -0.260000, 0.001395
-4.800000, -0.240000, 0.001422
-4.800000, -0.220000, 0.001449
-4.800000, -0.200000, 0.001474
-4.800000, -0.180000, 0.001497
-4.800000, -0.160000, 0.001518
-4.800000, -0.140000, 0.001537
-4.800000, -0.120000, 0.001554
-4.800000, -0.100000, 0.001568
-4.800000, -0.080000, 0.001580
-4.800000, -0.060000, 0.001590
-4.800000, -0.040000, 0.001596
-4.800000, -0.020000, 0.001601
-4.800000, 0.000000, 0.001602
-4.800000, 0.020000, 0.001601
-4.800000, 0.040000, 0.001596
-4.800000, 0.060000, 0.001590
-4.800000, 0.080000, 0.001580
-4.800000, 0.100000, 0.001568
-4.800000, 0.120000, 0.001554
-4.800000, 0.140000, 0.001537
-4.800000, 0.160000, 0.001518
-4.800000, 0.180000, 0.001497
-4.800000, 0.200000, 0.001474
-4.800000, 0.220000, 0.001449
-4.800000, 0.240000, 0.001423
-4.800000, 0.260000, 0.001395
-4.800000, 0.280000, 0.001366
-4.800000, 0.300000, 0.001336
-4.800000, 0.320000, 0.001305
-4.800000, 0.340000, 0.001273
-4.800000, 0.360000, 0.001241
-4.800000, 0.380000, 0.001208
-4.800000, 0.400000, 0.001174
-4.800000, 0.420000, 0.001141
-4.800000, 0.440000, 0.001108
-4.800000, 0.460000, 0.001074
-4.800000, 0.480000, 0.001041
-4.800000, 0.500000, 0.001008
-4.800000, 0.520000, 0.000976
-4.800000, 0.540000, 0.000944
-4.800000, 0.560000, 0.000912
-4.800000, 0.580000, 0.000881
-4.800000, 0.600000, 0.000851
-4.800000, 0.620000, 0.000821
-4.800000, 0.640000, 0.000792
-4.800000, 0.660000, 0.000764
-4.800000, 0.680000, 0.000736
-4.800000, 0.700000, 0.000710
-4.800000, 0.720000, 0.000684
-4.800000, 0.740000, 0.000659
-4.800000, 0.760000, 0.000634
-4.800000, 0.780000, 0.000611
-4.800000, 0.800000, 0.000588
-4.800000, 0.820000, 0.000566
-4.800000, 0.840000, 0.000544
-4.800000, 0.860000, 0.000524
-4.800000, 0.880000, 0.000504
-4.800000, 0.900000, 0.000485
-4.800000, 0.920000, 0.000467
-4.800000, 0.940000, 0.000449
-4.800000, 0.960000, 0.000432
-4.800000, 0.980000, 0.000416
-4.800000, 1.000000, 0.000400
-4.700000, -1.000000, 0.000405
-4.700000, -0.980000, 0.000420
-4.700000, -0.960000, 0.000437
-4.700000, -0.940000, 0.000454
-4.700000, -0.920000, 0.000472
-4.700000, -0.900000, 0.000490
-4.700000, -0.880000, 0.000509
